"Worldbirds Location","Worldbirds Location ID","Worldbirds Latitude","Worldbirds Longitude","Worldbirds Region/State","eBird Location","eBird Region Code","eBird Country Code","eBird Latitude","eBird Longitude"
"A3/A4 - Cruzamento",27298,41.197,-8.5876666667,,,,"PT",,
"A5 Setúbal-Évora-Elvas",27600,38.6253333333,-7.943,,,,"PT",,
"aaa",2055,39.24,-9.54,,,,"PT",,
"Abicada / Ria de Alvor",2034,37.1515,-8.5966666667,,,,"PT",,
"Aguçadoura",27587,41.4166666667,-8.787,,,,"PT",,
"Alares, Tejo Internacional, Castelo Branco",27373,"39.657166666667","-7.1606666666667",,"PN Tejo Internacional--Posto dos Alares                               ","PT-05","PT","39.6593572","-7.1714736"
"Albufeira de Montargil",137,39.074,-8.1616666667,,,,"PT",,
"Albufeira de Nossa Senhora da Tourega, Valverde, Évora",27371,38.5038333333,-8.0326666667,,,,"PT",,
"Albufeira de Santa Águeda (ou Marateca)",1783,39.9696666667,-7.4846666667,,,,"PT",,
"Albufeira do Azibo",106,41.5708333333,-6.9096666667,,,,"PT",,
"Albufeira do Maranhão, Avis",27266,39.7071666667,-7.8881666667,,,,"PT",,
"Albufeira do Maranhão, Benavila, Avis",27406,39.111079,-7.877728,,,,"PT",,
"Albufeira dos Minutos, Montemor-o-Novo",27366,38.6588333333,-8.0968333333,,,,"PT",,
"Alcochete - Hortas",27583,38.76,-8.9368333333,,,,"PT",,
"Alcochete: Alcochete",337,38.7551666667,-8.9636666667,,,,"PT",,
"Alcoutim (vila)",1888,37.4711666667,-7.4711666667,,,,"PT",,
"Aldeia Viçosa, Guarda (Serra da Estrela)",27493,40.568002,7.312517,,,,"PT",,
"Aldeias, Gouveia",27427,40.470836,-7.599184,,,,"PT",,
"Alijó (concelho todo)",27537,41.2695,-7.4775,,,,"PT",,
"Aljezur",27470,37.321028,8.805542,,,,"PT",,
"Aljezur - Quinta do Lago Silencioso",27468,37.303774,8.832536,,,,"PT",,
"Aljustrel",1690,37.8728333333,-8.158,,,,"PT",,
"Almarjao",27488,37.1811666667,-7.9526666667,,,,"PT",,
"Almendra, Vila Nova de Foz Côa",27319,41.034898,-7.002336,,,,"PT",,
"Alpalhão - Nisa",297,39.4141666667,-7.6426666667,,,,"PT",,
"Alto da Pedrice, Serra da Estrela",27568,40.3126666667,-7.5733333333,,,,"PT",,
"Ameada, Mourão",27323,38.3218333333,-7.2211666667,,,,"PT",,
"Ameirinhos-Estrada da Ponte, Murtosa",175,40.7665,-8.6715,,,,"PT",,
"Amoreira/Foz da ribeira de Aljezur",27453,"37.335333333333","-8.8535",,"PN Costa Vicentina e Sudoeste Alentejano--Ribeira de Aljezur","PT-08","PT","37.3368732","-8.8347942"
"Angueira - QG11Q",27538,41.603,-6.4166666667,,,,"PT",,
"Antas - Arruda dos Vinhos",27478,38.9903333333,-9.0495,,,,"PT",,
"ao largo de Salema",27510,37.043,-8.8191666667,,,,"PT",,
"Arcos de Valdevez - Vila (NG43_W)",1692,41.5041,-8.2435,,,,"PT",,
"Arcozelo, Gouveia",27450,40.535068,-7.623502,,,,"PT",,
"Areão",27344,40.5501666667,-8.7641666667,,,,"PT",,
"Armacao de Pera",27482,"37.103","-8.3683333333333",,"Armação de Pêra","PT-08","PT","37.1001325","-8.3580208"
"Arrábida - Aldeia de Irmãos / Casais da Serra",27270,"38.488","-9.0293333333333","Portugal (mainland)","PN Arrábida--Alambre","PT-15","PT","38.493576","-9.0281413"
"Arronches - Barragem do Brilongo - Área nº 1",1723,39.107,-7.1461666667,,,,"PT",,
"Arrozais da Giganta",25479,"38.916","-8.9291666666667","Portugal (mainland)","Estuário do Tejo--Arrozais da Giganta","PT-11","PT","38.9159291","-8.9326572"
"Atalaia do Campo - Alpedrinha",27565,40.0515,-7.4278333333,,,,"PT",,
"Aveiro - Atrás da Universidade até salina",27061,40.6315,-8.6628333333,,,,"PT",,
"Aveiro - Salinas - Área nº 1",1647,40.6431666667,-8.6638333333,,,,"PT",,
"Aveiro-Salinas-Área 1",27380,40.6413333333,-8.6663333333,,,,"PT",,
"Aveiro-Salinas-Área 2",27381,40.649,-8.6553333333,,,,"PT",,
"Aveiro-Salinas-U.A",27378,40.63,-8.6663333333,,,,"PT",,
"Aveleda",27490,41.8868333333,-6.6998333333,,,,"PT",,
"Baía de Cascais, Cascais",308,38.6966666667,-9.4198333333,,,,"PT",,
"Baixa do Rio Seia, Seia",27318,40.430446,-7.709372,,,,"PT",,
"Barragem de Fagauste, Rio Douro, Regua",2131,41.144,-7.7388333333,,,,"PT",,
"Barragem de Fagilde, Mangualde",27196,40.385,7.4542,,,,"PT",,
"Barragem de Poio, Nisa",1610,39.469761,-7.54735,,,,"PT",,
"Barragem de Vilarinho das Furnas",27345,41.7,8.2,,,,"PT",,
"Barragem do Caldeirão, Guarda",27448,40.531347,-7.330088,,,,"PT",,
"Barragem do Divor - Igrejinha",1624,38.6991666667,-7.9291666667,,,,"PT",,
"Barragem do Poio",27263,39.488,-7.5701666667,,,,"PT",,
"Barrinha de Esmoriz/Lagoa de Paramos IBA",11,40.96666667,-8.633333333,,,,"PT",,
